"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"272"	"GC20130110"	"III"	423	0	0	0	69	0	0	0
"273"	"GC20130110"	"III"	425	0	0	0	32	0	0	0
"274"	"GC20130110"	"III"	427	0	0	0	46	0	0	0
"275"	"GC20130110"	"III"	428	0	0	0	7	0	8	0
"276"	"GC20130110"	"III"	429	0	0	0	594	0	0	0
"277"	"GC20130110"	"III"	434	0	0	0	0	0	0	0
"278"	"GC20130110"	"III"	439	0	0	0	0	0	0	0
"279"	"GC20130110"	"III"	441	0	0	0	99	0	0	0
"280"	"GC20130110"	"III"	450	0	0	0	131	0	0	0
"281"	"GC20130110"	"III"	454	0	0	0	0	0	0	0
"282"	"GC20130110"	"III"	455	0	0	0	43	0	0	0
"283"	"GC20130110"	"III"	463	0	0	0	0	0	0	0
"284"	"GC20130110"	"III"	467	0	0	0	0	0	0	0
"285"	"GC20130110"	"I"	374	0	0	0	0	0	0	0
"286"	"GC20130110"	"I"	375	0	0	0	0	0	0	0
"287"	"GC20130110"	"I"	377	0	0	0	0	0	0	0
"288"	"GC20130110"	"I"	378	0	0	0	0	0	0	0
"289"	"GC20130110"	"I"	380	0	0	0	0	0	0	0
"290"	"GC20130110"	"I"	381	0	0	0	0	0	0	0
"291"	"GC20130110"	"I"	382	0	0	0	0	0	0	0
"292"	"GC20130110"	"I"	416	0	0	0	0	6	0	0
"293"	"GC20130110"	"I"	436	0	0	0	0	0	0	0
"294"	"GC20130110"	"I"	445	0	0	0	0	0	0	0
"295"	"GC20130110"	"I"	451	0	0	0	0	0	0	0
"296"	"GC20130110"	"I"	476	0	0	0	0	0	0	0
"297"	"GC20130110"	"I"	477	0	0	0	0	113	0	0
"298"	"GC20130110"	"I"	478	0	0	0	0	131	0	0
"299"	"GC20130110"	"II"	376	0	0	0	0	0	0	0
"300"	"GC20130110"	"II"	384	0	0	0	72	0	0	0
"301"	"GC20130110"	"II"	389	0	0	0	26	0	0	0
"302"	"GC20130110"	"II"	390	0	0	0	0	0	0	0
"303"	"GC20130110"	"II"	392	0	0	0	86	0	0	0
"304"	"GC20130110"	"II"	397	0	0	0	89	0	23	0
"305"	"GC20130110"	"II"	399	0	0	0	17	0	0	0
"306"	"GC20130110"	"II"	418	0	0	0	178	0	0	0
"307"	"GC20130110"	"II"	424	0	0	0	20	0	29	0
"308"	"GC20130110"	"II"	435	0	0	0	19	0	0	0
"309"	"GC20130110"	"II"	442	0	0	0	327	0	0	0
"310"	"GC20130110"	"II"	456	0	0	0	0	0	0	0
"311"	"GC20130110"	"II"	457	0	0	0	142	0	0	0
"312"	"GC20130110"	"II"	461	0	0	0	0	0	0	0
"313"	"GC20130110"	"II"	462	0	0	0	5	0	0	0
"314"	"GC20130110"	"II"	464	0	0	0	0	0	0	0
"315"	"GC20130110"	"II"	465	0	0	0	28	0	24	0
"316"	"GC20130110"	"II"	466	0	0	0	252	0	0	0
