"trip"	"site"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"
"49"	"GC20140403"	"II"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	14	96	77	37	20	6	4	3	0	0	0	0	1	100	146	65	18	1	0	29	109	116	71	35	8	2	0	0	0	0	31	54	26	3	4	2	1	0	1	0	0	0	0	0	0	0	0	0	0
"50"	"GC20140403"	"III"	0	0	0	0	0	0	0	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	0	6	47	27	22	11	5	10	3	2	0	0	0	1	134	158	69	26	2	0	37	90	129	76	39	10	5	0	0	0	0	27	53	27	14	4	3	4	1	0	0	0	0	0	0	0	0	0	0	0
"51"	"GC20140403"	"IVa"	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	8	22	12	2	0	0	0	17	48	29	11	4	7	15	11	5	2	0	1	12	298	305	69	8	1	0	31	145	139	51	24	4	1	0	0	0	0	47	61	21	15	4	1	1	0	2	0	1	0	0	0	1	0	0	0	0
"52"	"GC20140403"	"IVb"	2	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	2	3	14	4	0	0	0	0	31	87	49	16	11	5	4	1	4	1	0	0	31	342	255	31	4	1	1	79	171	155	55	13	4	2	0	0	0	0	78	133	61	16	4	1	2	0	0	1	0	0	0	0	0	0	0	0	0
"53"	"GC20140911"	"I"	10	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	6	28	36	4	0	0	0	31	102	130	68	19	1	0	0	0	0	0	80	59	28	6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"54"	"GC20140911"	"II"	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	8	84	70	62	53	36	21	6	1	0	0	0	1	21	46	12	0	0	0	17	67	102	58	33	6	3	1	0	0	0	5	31	17	6	2	3	2	0	1	1	0	0	0	1	0	0	0	0	0
"55"	"GC20140911"	"III"	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	0	0	0	0	9	32	25	26	10	20	8	0	0	0	0	0	4	24	73	10	0	0	0	11	72	109	57	22	3	2	1	0	0	0	10	23	20	7	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"56"	"GC20140911"	"IVa"	0	1	0	0	0	0	5	6	2	2	0	0	0	0	0	1	0	0	0	0	0	0	4	1	2	0	0	0	0	18	68	46	22	19	11	2	0	0	0	0	0	7	84	103	29	1	0	0	7	89	115	69	13	2	1	0	0	0	0	23	34	27	21	7	2	4	0	1	1	0	0	0	0	0	0	0	0	0
"57"	"GC20140911"	"IVb"	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	4	3	2	1	0	0	0	0	0	0	9	22	5	0	0	0	5	39	53	14	9	2	3	2	0	1	3	2	2	1	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0
"58"	"GC20150108"	"I"	0	0	1	0	0	0	0	4	4	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	6	6	4	1	2	1	0	0	0	0	0	10	21	5	0	0	0	10	29	37	14	6	1	1	0	0	0	0	3	8	9	12	8	3	4	3	0	0	0	0	1	0	0	0	0	0	0
"59"	"GC20150108"	"II"	1	0	1	0	0	0	0	0	2	7	3	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	55	143	112	58	29	11	3	0	0	0	0	0	62	106	40	4	0	0	0	55	138	60	30	10	5	1	0	0	0	1	11	9	1	3	2	0	0	2	1	0	0	0	0	1	0	0	0	0
"60"	"GC20150108"	"III"	0	0	0	0	0	0	1	3	6	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	38	112	94	56	19	16	1	0	0	0	0	3	37	52	29	1	0	0	7	40	116	83	29	10	8	7	1	0	0	1	2	5	6	10	4	2	1	1	0	0	0	0	0	0	0	0	0	0
"61"	"GC20150108"	"IVa"	0	0	0	0	0	0	4	6	10	3	1	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	23	107	108	71	34	12	12	0	0	0	0	16	5	200	161	32	2	0	0	16	105	126	65	29	12	5	3	1	0	0	0	11	8	7	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0
"62"	"GC20150108"	"IVb"	0	0	0	0	0	0	2	2	6	8	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	17	105	89	63	27	11	6	0	0	0	0	0	3	123	80	30	2	0	0	17	80	138	62	38	19	5	4	0	0	0	1	3	4	7	2	3	0	1	0	0	1	0	0	0	0	0	0	0	0
"63"	"GC20150403"	"I"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	1	0	0	0	1	0	0	0	0	0	0	19	42	68	18	1	0	49	53	67	31	15	8	1	0	0	0	0	31	11	19	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"64"	"GC20150403"	"II"	2	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	14	3	0	0	0	21	43	40	53	23	11	4	1	1	0	0	0	3	113	224	174	42	6	0	22	101	162	97	24	11	0	0	0	0	0	63	61	39	10	5	3	1	1	0	0	1	0	0	0	0	0	0	0	0
"65"	"GC20150403"	"III"	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	9	1	0	0	0	6	9	16	15	5	3	1	3	0	0	0	0	5	175	264	173	48	4	0	33	64	134	95	38	9	6	0	0	0	0	13	20	24	6	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
"66"	"GC20150403"	"IVa"	0	0	1	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	4	1	0	0	0	13	22	25	8	5	1	1	4	0	0	0	0	9	234	289	87	6	0	0	24	66	172	108	15	2	1	0	0	0	0	5	15	24	2	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0
"67"	"GC20150403"	"IVb"	0	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	12	14	7	2	5	1	1	3	0	0	0	0	17	310	186	74	5	0	0	45	105	113	85	20	3	0	0	0	0	0	18	17	16	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
